2; Akita ;Act
3; Akita Americano ;Act
4;Afgano;Act
5;Airedale Terrier;Act
6;Alaskan Malamute ;Act
7;American Pitt Bull Terrier ;Act
8;American Staffordshire Terrier;Act
9;American Water Spaniel;Act
10;Antiguo Pastor Ingles;Act
11;Australian Kelpie;Act
12;Australian Shepherd ;Act
13;Barzoi ;Act
14;Basset Azul de Gaseogne;Act
15;Basset Hound;Act
16;Basset leonado de Bretana;Act
17;Beagle;Act
18;Bearded Collie;Act
19;Beauceron ;Act
20;Berger Blanc Suisse ;Act
21;Bichón Frise;Act
22;Bichón Habanero ;Act
23;Bichón Maltes;Act
24;Bloodhound;Act
25;Bobtail;Act
26;Border Collie;Act
27;Border Collie ;Act
28;Borzoi ;Act
29;Boston Terrier;Act
30;Boxer;Act
31;Boyero Australiano;Act
32;Boyero de Flandes;Act
33;Boyero de Montana Bernes ;Act
34;Braco Aleman;Act
35;Braco de Weimar ;Act
36;Braco Hungaro;Act
37;Briard ;Act
38;Bull Terrier;Act
39;Bulldog Americano;Act
40;Bulldog Frances;Act
41;Bulldog Ingles;Act
42;Bullmastiff;Act
43;Ca de Bou ;Act
44;Ca me mallorqui;Act
45;Cane Corso;Act
46;Caniche;Act
47;Carlino;Act
48;Chien de Saint Hubert ;Act
49;Chihuahua;Act
50;Chino Crestado;Act
51;Chow Chow;Act
52;Cirneco del Etna;Act
53;Cocker Spaniel Americano;Act
54;Cocker Spaniel Ingles;Act
55;Collie;Act
56;Coton de Tulear ;Act
57;Dachshunds ;Act
58;Dalmata;Act
59;Deutsch Drahthaar;Act
60;Deutsch Kurzhaar ;Act
61;Dobermann;Act
62;Dogo Aleman;Act
63;Dogo Argentino;Act
64;Dogo Canario ;Act
65;Dogo de Burdeos;Act
66;Drahthaar;Act
67;English Springer Spaniel ;Act
68;Epagneul Breton;Act
69;Eurasier;Act
70;Fila Brasileiro ;Act
71;Fox Terrier;Act
72;Foxhound Americano;Act
73;Foxhound Ingles;Act
74;Galgo Afgano;Act
75;Galgo Espanol;Act
76;Galgo Italiano;Act
77;Galgo Ruso;Act
78;Gigante de los Pirineos;Act
79;Golden Retriever;Act
80;Gos dAtura;Act
81;Gran Danes;Act
82;Gran Perro Japones ;Act
83;Husky Siberiano;Act
84;Irish Wolfhound;Act
85;Jack Russel;Act
86;Japanes Chin;Act
87;Kelpie ;Act
88;Kerry Blue;Act
89;Komondor;Act
90;Kuvasz ;Act
91;Labrador Retriever;Act
92;Laika de Siberia Occidental;Act
93;Laika Ruso-europeo;Act
94;Lebrel ruso ;Act
95;Leonberger ;Act
96;Lhasa Apso;Act
97;Magyar Vizsla;Act
98;Maltes;Act
99;Mastin del Alentejo ;Act
100;Masten del Pirineo;Act
101;Mastin del Tibet;Act
102;Mastín Espanol;Act
103;Mastin Napolitano;Act
104;Norfolk Terrier;Act
105;Ovtcharka ;Act
106;Pachon Navarro ;Act
107;Pastor Aleman;Act
108;Pastor Australiano;Act
109;Pastor Belga;Act
110;Pastor Blanco Suizo ;Act
111;Pastor de Beauce;Act
112;Pastor de Brie;Act
113;Pastor de los Pirineos de Cara Rosa;Act
114;Pastor de Shetland ;Act
115;Pastor del Caucaso ;Act
116;Pekines;Act
117;Perdiguero Burgos ;Act
118;Perdiguero Chesapeake Bay;Act
119;Perdiguero de Drentse;Act
120;Perdiguero de Pelo lido;Act
121;Perdiguero de pelo rizado;Act
122;Perdiguero Portugues;Act
123;Perro Crestado Chino;Act
124;Perro de Aguas;Act
125;Perro sin pelo de Mexico ;Act
126;Perro sin pelo del Peru;Act
127;Pinscher miniatura ;Act
128;Pitbull;Act
129;Podenco Andaluz;Act
130;Podenco Ibicenco;Act
131;Podenco Portugues;Act
132;presa canario;Act
133;Presa Mallorquin;Act
134;Rafeiro do Alentejo ;Act
135;Rottweiler;Act
136;Rough Collie;Act
137;Sabueso Espanol;Act
138;Sabueso Helenico;Act
139;Sabueso Italiano;Act
140;Sabueso Suizo;Act
141;Saint Hubert ;Act
142;Saluki;Act
143;Samoyedo;Act
144;San Bernardo;Act
145;Schnaucer;Act
146;Scottish Terrier;Act
147;Sealyhalm Terrier;Act
148;Setter Gordon;Act
149;Setter Irlandes;Act
150;Shar Pei;Act
151;Shiba ;Act
152;Shiba Inu;Act
153;Shih Tzu ;Act
154;Siberian Husky;Act
155;Smooth Collie;Act
156;Spaniel Japones ;Act
157;Spinone Italiano ;Act
158;Spitz Aleman ;Act
159;Springer Spaniel Ingles;Act
160;Staffordshire Bull Terrier;Act
161;Teckel;Act
162;Terranova;Act
163;Terrier Australiano;Act
164;Terrier Escoces;Act
165;Terrier Irlandes;Act
166;Terrier Japones;Act
167;Terrier Negro Ruso;Act
168;Terrier Norfolk;Act
169;Terrier Ruso;Act
170;Tibetan Terrier;Act
171;Vizsla ;Act
172;Welhs Terrier;Act
173;West Highland T.;Act
174;Wolfspitz;Act
175;Xoloitzquintle ;Act
176;Yorkshire Terrier;Act
